"gs_name","gs_description"
"CROONQUIST_IL6_DEPRIVATION_DN","Genes down-regulated in the ANBL-6 cell line (multiple myeloma, MM) after withdrawal of IL6 [GeneID=3569]."
"CROONQUIST_IL6_DEPRIVATION_UP","Genes up-regulated in the ANBL-6 cell line (multiple myeloma, MM) after withdrawal of IL6 [GeneID=3569]."
"CROONQUIST_NRAS_SIGNALING_DN","Genes down-regulated in ANBL-6 cell line (multiple myeloma, MM)  expressing a constantly active form of NRAS [GeneID=4893] off a plasmid vector compared to those grown in the presence of IL6 [GeneID=3569]."
"CROONQUIST_NRAS_SIGNALING_UP","Genes up-regulated in ANBL-6 cell line (multiple myeloma, MM)  expressing a constantly active form of NRAS [GeneID=4893] off a plasmid vector compared to those grown in the presence of IL6 [GeneID=3569]."
"CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN","Genes down-regulated in ANBL-6 cell line (multiple myeloma, MM) expressing an activated form of NRAS [GeneID=4893] off a plasmid vector compared to those co-cultured with bone marrow stromal cells."
"CROONQUIST_NRAS_VS_STROMAL_STIMULATION_UP","Genes up-regulated in ANBL-6 cell line (multiple myeloma, MM) expressing an activated form of NRAS [GeneID=4893] off a plasmid vector compared to those co-cultured with bone marrow stromal cells."
"CROONQUIST_STROMAL_STIMULATION_DN","Genes down-regulated in ANBL-6 cell line (multiple myeloma, MM) co-cultured with bone marrow stromal cells compared to those grown in the presence of IL6 [GeneID=3569]."
"CROONQUIST_STROMAL_STIMULATION_UP","Genes up-regulated in ANBL-6 cell line (multiple myeloma, MM) co-cultured with bone marrow stromal cells compared to those grown in the presence of IL6 [GeneID=3569]."
"CROSBY_E2F4_TARGETS","Putative E2F4 [GeneID=1874] target genes identified as mitotic genes down-regulated in the LNCaP C4-2 cells (prostate cancer) at both 6 and 24 h following irradiation."
"CUI_GLUCOSE_DEPRIVATION","Representative genes up-regulated in MiaPaCa2 cells (pancreatic cancer) under glucose-deprived conditions."
"CUI_TCF21_TARGETS_2_DN","All significantly down-regulated genes in kidney glomeruli isolated from TCF21 [Gene ID=6943] knockout mice."
"CUI_TCF21_TARGETS_2_UP","All significantly up-regulated genes in kidney glomeruli isolated from TCF21 [Gene ID=6943] knockout mice."
"CUI_TCF21_TARGETS_DN","Genes most strongly down-regulated in kidney glomeruli isolated from TCF21 [GeneID=6943] knockout mice."
"CUI_TCF21_TARGETS_UP","Genes most strongly up-regulated in kidney glomeruli isolated from TCF21 [GeneID=6943] knockout mice."
"DACOSTA_ERCC3_ALLELE_XPCS_VS_TTD_DN","Genes down-regulated in fibroblasts expressing different mutant forms of ERCC3 [GeneID=2071]: XP/CS (xeroderma pigmentosum (XP) and Cockraine's syndrome (CS)) vs TTD (trichothiodystrophy)."
"DACOSTA_ERCC3_ALLELE_XPCS_VS_TTD_UP","Genes up-regulated in fibroblasts expressing different mutant forms of ERCC3 [GeneID=2071]: XP/CS (xeroderma pigmentosum (XP) and Cockraine's syndrome (CS)) vs TTD (trichothiodystrophy)."
"DACOSTA_LOW_DOSE_UV_RESPONSE_VIA_ERCC3_XPCS_DN","Genes down-regulated in fibroblasts expressing the XP/CS mutant form of ERCC3 [GeneID=2071], after low dose UVC irradiation."
"DACOSTA_LOW_DOSE_UV_RESPONSE_VIA_ERCC3_XPCS_UP","Genes up-regulated in fibroblasts expressing the XP/CS mutant form of ERCC3 [GeneID=2071], after low dose UVC irradiation."
"DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN","Common down-regulated transcripts in fibroblasts expressing either XP/CS or TDD mutant forms of ERCC3 [GeneID=2071], after UVC irradiation."
"DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_UP","Common up-regulated transcripts in fibroblasts expressing either XP/CS or TDD mutant forms of ERCC3 [GeneID=2071], after UVC irradiation."
"DACOSTA_UV_RESPONSE_VIA_ERCC3_DN","Genes down-regulated in fibroblasts expressing mutant forms of ERCC3 [GeneID=2071] after UV irradiation."
"DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN","Genes exclusively down-regulated in fibroblasts expressing the TTD mutant form of ERCC3 [GeneID=2071], after UVC irradiation."
"DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP","Genes exclusively up-regulated in fibroblasts expressing the TTD mutant form of ERCC3 [GeneID=2071], after UVC irradiation."
"DACOSTA_UV_RESPONSE_VIA_ERCC3_UP","Genes up-regulated in fibroblasts expressing mutant forms of ERCC3 [GeneID=2071] after UV irradiation."
"DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN","Genes exclusively down-regulated in fibroblasts expressing the XP/CS mutant form of ERCC3 [GeneID=2071] after high dose UVC irradiation."
"DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_UP","Genes exclusively up-regulated in fibroblasts expressing the XP/CS mutant form of ERCC3 [GeneID=2071] after high dose UVC irradiation."
"DAIRKEE_CANCER_PRONE_RESPONSE_BPA","'Cancer prone response profile' (CPRP): genes changed in response to bisphenol A [PubChem=6623]  in epithelial cell cultures from patients at high risk of breast cancer."
"DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2","'Cancer prone response profile' (CPRP): genes common to estradiol and bisphenol A [PubChem=5757;6623]  response of epithelial cell cultures from patients at high risk of breast cancer."
"DAIRKEE_CANCER_PRONE_RESPONSE_E2","'Cancer prone response profile' (CPRP): genes changed in response to estradiol [PubChem=5757]  in epithelial cell cultures from patients at high risk of breast cancer."
"DALESSIO_TSA_RESPONSE","Top genes up-regulated in HEK293 cells (fibroblast) in response to trichostatin A (TSA) [PubChem=5562]."
"DANG_BOUND_BY_MYC","Genes whose promoters are bound by MYC [GeneID=4609], according to MYC Target Gene Database."
"DANG_MYC_TARGETS_DN","Genes down-regulated by MYC [GeneID=4609] and whose promoters are bound by MYC, according to MYC Target Gene Database."
"DANG_MYC_TARGETS_UP","Genes up-regulated by MYC [GeneID=4609] and whose promoters are bound by MYC, according to MYC Target Gene Database."
"DANG_REGULATED_BY_MYC_DN","Genes down-regulated by MYC [GeneID=4609], according to the MYC Target Gene Database."
"DANG_REGULATED_BY_MYC_UP","Genes up-regulated by MYC [GeneID=4609], according to the MYC Target Gene Database."
"DARWICHE_PAPILLOMA_PROGRESSION_RISK","Genes that classify progression risk of benign papilloma samples: low vs high risk."
"DARWICHE_PAPILLOMA_RISK_HIGH_DN","Genes down-regulated during skin tumor progression from normal skin to high risk papilloma."
"DARWICHE_PAPILLOMA_RISK_HIGH_UP","Genes up-regulated during skin tumor progression from normal skin to high risk papilloma."
"DARWICHE_PAPILLOMA_RISK_LOW_DN","Genes down-regulated during skin tumor progression from low risk papilloma vs normal skin."
"DARWICHE_PAPILLOMA_RISK_LOW_UP","Genes up-regulated during skin tumor progression from low risk papilloma vs normal skin."
"DARWICHE_SKIN_TUMOR_PROMOTER_DN","Genes down-regulated during skin tumor progression: epidermis treated with the carcinogen DMBA [PubChem=6001] followed by 20 weekly applications of the tumor promoter TPA [PubChem=4792], compared to the untreated skin."
"DARWICHE_SKIN_TUMOR_PROMOTER_UP","Genes up-regulated during skin tumor progression: epidermis treated with the carcinogen DMBA [PubChem=6001] followed by 20 weekly applications of the tumor promoter TPA [PubChem=4792], compared to the untreated skin."
"DARWICHE_SQUAMOUS_CELL_CARCINOMA_DN","Genes down-regulated in squamous cell carcinoma (SCC) compared to normal skin."
"DARWICHE_SQUAMOUS_CELL_CARCINOMA_UP","Genes up-regulated in squamous cell carcinoma (SCC) compared to normal skin."
"DASU_IL6_SIGNALING_DN","Genes down-regulated in normal fibroblasts in response to IL6 [GeneID=3569]."
"DASU_IL6_SIGNALING_SCAR_DN","Genes down-regulated in hypertrophic scar fibroblasts in response to IL6 [GeneID=3569]."
"DASU_IL6_SIGNALING_SCAR_UP","Genes up-regulated in hypertrophic scar fibroblasts in response to IL6 [GeneID=3569]."
"DASU_IL6_SIGNALING_UP","Genes up-regulated in normal fibroblasts in response to IL6 [GeneID=3569]."
"DAUER_STAT3_TARGETS_DN","Top 50 genes down-regulated in A549 cells (lung cancer) expressing STAT3 [GeneID=6774] off an adenovirus vector."
"DAUER_STAT3_TARGETS_UP","Top 50 genes up-regulated in A549 cells (lung cancer) expressing STAT3 [GeneID=6774] off an adenovirus vector."
"DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN","Genes down-regulated in mARMS (molecular ARMS) compared to the mERMS (molecular ERMS) class of rhabdomyosarcoma tumors."
"DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP","Genes up-regulated in mARMS (molecular ARMS) compared to the mERMS (molecular ERMS) class of rhabdomyosarcoma tumors."
"DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN","'PAX-FKHR signature':  genes down-regulated by PAX3- or PAX7-FOXO1 [GeneID=5081;5077;2308] fusion in primary alveolar rhabdomyosarcoma(ARMS) tumors."
"DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP","'PAX-FKHR signature':  genes up-regulated by PAX3- or PAX7-FOXO1 [GeneID=5081;5077;2308] fusion in primary alveolar rhabdomyosarcoma(ARMS) tumors."
"DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_DN","Genes down-regulated in RMS cells (rhabdomyosarcoma) expressing PAX3 or PAX7 fusions with FOXO1 [GeneID=5077;5081;2308] compared to the fusion negative cell lines."
"DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_UP","Genes up-regulated in RMS cells (rhabdomyosarcoma) expressing PAX3 or PAX7 fusions with FOXO1 [GeneID=5077;5081;2308] compared to the fusion negative cell lines."
"DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN","Genes down-regulated in RD cells (embryonal rhabdomyosarcoma, ERMS) by expression of PAX3- or PAX7-FOXO1 [GeneID=5077;5081;2308] fusions off retroviral vectors."
"DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP","Genes up-regulated in RD cells (embryonal rhabdomyosarcoma, ERMS) by expression of PAX3- or PAX7-FOXO1 [GeneID=5077;5081;2308] fusions off retroviral vectors."
"DAVIES_MULTIPLE_MYELOMA_VS_MGUS_DN","Genes down-regulated in multiple myeloma (MM) compared to monoclonal gammopathy of uncertain significance (MGUS)."
"DAVIES_MULTIPLE_MYELOMA_VS_MGUS_UP","Genes up-regulated in multiple myeloma (MM) compared to monoclonal gammopathy of uncertain significance (MGUS)."
"DAWSON_METHYLATED_IN_LYMPHOMA_TCL1","Genes hypermethylated in at least one of the lymphoma tumors of transgenic mice overexpressing TCL1 [GeneID=8115] in germinal center B lymphocytes."
"DAZARD_RESPONSE_TO_UV_NHEK_DN","Genes down-regulated in NHEK cells (normal keratinocytes) by UV-B irradiation."
"DAZARD_RESPONSE_TO_UV_NHEK_UP","Genes up-regulated in NHEK cells (normal keratinocytes) by UV-B irradiation."
"DAZARD_RESPONSE_TO_UV_SCC_DN","Genes down-regulated in SCC12B2 cells (squamous cell carcinoma) by UV-B irradiation."
"DAZARD_RESPONSE_TO_UV_SCC_UP","Genes up-regulated in SCC12B2 cells (squamous cell carcinoma) by UV-B irradiation."
"DAZARD_UV_RESPONSE_CLUSTER_G1","Cluster G1: genes most highly up-regulated in NHEK cells (normal keratinocyte) between 6 h and 12 h after UV-B irradiation."
"DAZARD_UV_RESPONSE_CLUSTER_G2","Cluster G2: genes increasingly up-regulated in NHEK cells (normal keratinocyte) and reaching maximum levels at 12 h and 24 h after UV-B irradiation."
"DAZARD_UV_RESPONSE_CLUSTER_G24","Cluster G24: genes induced in NHEK (normal keratinocyte) but not in SCC12B2 cells (squamous cell carcinoma) by UV-B radiation."
"DAZARD_UV_RESPONSE_CLUSTER_G28","Cluster G28: genes differentially up-regulated in NHEK (normal keratinocyte) compared to SCC12B2 cells (squamous cell carcinoma) by UV-B radiation."
"DAZARD_UV_RESPONSE_CLUSTER_G3","Cluster G3: genes increasingly up-regulated in NHEK cells (normal keratinocyte) after 6 h time point upon UV-B irradiation."
"DAZARD_UV_RESPONSE_CLUSTER_G4","Cluster G4: genes increasingly up-regulated in NHEK cells (normal keratinocyte) after 12 h time point after UV-B irradiation."
"DAZARD_UV_RESPONSE_CLUSTER_G5","Cluster G5: genes up-regulated in NHEK cells (normal keratinocyte) at 3 h and 24 h time points after UV-B irradiation."
"DAZARD_UV_RESPONSE_CLUSTER_G6","Cluster G6: genes increasingly down-regulated in NHEK cells (normal keratinocyte) after UV-B irradiation."
"DE_YY1_TARGETS_DN","Genes down-regulated in SaOS-2 cells (osteosarcoma) upon knockdown of YY1 [GeneID=7528] by RNAi."
"DE_YY1_TARGETS_UP","Genes up-regulated in SaOS-2 cells (osteosarcoma) upon knockdown of YY1 [GeneID=7528] by RNAi."
"DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_DN","Genes down-regulated in HEK293 cells (embryonic kidney) at 6 h, 12 h or 24 h after infection with reovirus strain T3A (known as a strong inducer of apoptosis)."
"DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_UP","Genes up-regulated in HEK293 cells (embryonic kidney) at 6 h, 12 h or 24 h after infection with reovirus strain T3A (known as a strong inducer of apoptosis)."
"DEBOSSCHER_NFKB_TARGETS_REPRESSED_BY_GLUCOCORTICOIDS","NF-kB-driven pro-inflammatory genes that are  negatively regulated by glucocorticoids."
"DELACROIX_RAR_BOUND_ES","Genes with DNA sequences bound by RARA and RARG [GeneID=5914, 5916] in ES cells."
"DELACROIX_RAR_TARGETS_DN","Genes bound by RARG [GeneID=5916] and down-regulated by tretinoin (all-trans retinoic acid, ATRA) [PubChem=444795] in MEF cells (embryonic fibroblast)."
"DELACROIX_RAR_TARGETS_UP","Genes bound by RARG [GeneID=5916] and up-regulated by tretinoin (all-trans retinoic acid, ATRA) [PubChem=444795] in MEF cells (embryonic fibroblast)."
"DELACROIX_RARG_BOUND_MEF","Genes with DNA sequences bound by RARG [GeneID=5916] in MEF cells (embryonic fibroblast)."
"DELASERNA_MYOD_TARGETS_DN","Genes down-regulated in NIH 3T3 cells (fibroblasts) 24 h after inducing MyoD [GeneID=4654] differentiation program."
"DELASERNA_MYOD_TARGETS_UP","Genes up-regulated in NIH 3T3 cells (fibroblasts) 24 h after inducing MyoD [GeneID=4654] differentiation program."
"DELASERNA_TARGETS_OF_MYOD_AND_SMARCA4","Genes up-regulated in NIH 3T3 cells (fibroblasts) 24 h after inducing MYOD [GeneID=4654] which were down-regulated by dominant negative form of SMARCA4 [GeneID=6597]."
"DELLA_RESPONSE_TO_TSA_AND_BUTYRATE","Genes up-regulated in HT-29 cells (colon cancer) by the combination of trichostatin A (TSA) and sodium butyrate [PubChem=5562;5222465]."
"DELPUECH_FOXO3_TARGETS_DN","Genes down-regulated in DL23 cells (colon cancer) upon expression of an activated form of FOXO3 [GeneID=2309]."
"DELPUECH_FOXO3_TARGETS_UP","Genes up-regulated in DL23 cells (colon cancer) upon expression of an activated form of FOXO3 [GeneID=2309]."
"DELYS_THYROID_CANCER_DN","Genes down-regulated in papillary thyroid carcinoma (PTC) compared to normal tissue."
"DELYS_THYROID_CANCER_UP","Genes up-regulated in papillary thyroid carcinoma (PTC) compared to normal tissue."
"DEMAGALHAES_AGING_DN","Genes consistently underexpressed with age, based on meta-analysis of microarray data."
"DEMAGALHAES_AGING_UP","Genes consistently overexpressed with age, based on meta-analysis of microarray data."
"DEN_INTERACT_WITH_LCA5","Proteins shown to interact with LCA5 [GeneID=167691] in vivo."
"DER_IFN_ALPHA_RESPONSE_DN","Genes down-regulated in HT1080 cells (fibrosarcoma) by treatment with interferon alpha for 6 h."
"DER_IFN_ALPHA_RESPONSE_UP","Genes up-regulated in HT1080 cells (fibrosarcoma) by treatment with interferon alpha for 6 h."
"DER_IFN_BETA_RESPONSE_DN","Genes down-regulated in HT1080 (fibrosarcoma) cells by treatment with interferon beta for 6 h."
"DER_IFN_BETA_RESPONSE_UP","Genes up-regulated in HT1080 (fibrosarcoma) cells by treatment with interferon beta for 6 h."
"DER_IFN_GAMMA_RESPONSE_DN","Genes down-regulated in HT1080 (fibrosarcoma) cells by treatment with interferon gamma for 6 h."
"DER_IFN_GAMMA_RESPONSE_UP","Genes up-regulated in HT1080 (fibrosarcoma) cells by treatment with interferon gamma for 6 h."
"DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","Genes up-regulated in the extracellular matrix-type subclass of hepatocellular carcinomas. Sets created as part of a metaanalysis of nine public transcriptomic datasets merged into a metadataset including 1133 human hepatocellular carcinomas obtained after curative resection. For platform descriptions of each one of the 9 datasets, see Figure 1B in Désert et al., Hepatology (2017), 66: 1502-1518."
"DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","Genes up-regulated in the periportal-type subclass of hepatocellular carcinomas. Sets created as part of a metaanalysis of nine public transcriptomic datasets merged into a metadataset including 1133 human hepatocellular carcinomas obtained after curative resection. For platform descriptions of each one of the 9 datasets, see Figure 1B in Désert et al., Hepatology (2017), 66: 1502-1518."
"DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","Genes up-regulated in the perivenous-type subclass of hepatocellular carcinomas. Sets created as part of a metaanalysis of nine public transcriptomic datasets merged into a metadataset including 1133 human hepatocellular carcinomas obtained after curative resection. For platform descriptions of each one of the 9 datasets, see Figure 1B in Désert et al., Hepatology (2017), 66: 1502-1518."
"DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","Genes up-regulated in the stem cell-type subclass of hepatocellular carcinomas. Sets created as part of a metaanalysis of nine public transcriptomic datasets merged into a metadataset including 1133 human hepatocellular carcinomas obtained after curative resection. For platform descriptions of each one of the 9 datasets, see Figure 1B in Désert et al., Hepatology (2017), 66: 1502-1518."
"DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN","Genes down-regulated in T-PLL cells (T-cell prolymphocytic leukemia) bearing the inv(14)/t(14:14) chromosomal aberration."
"DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP","Genes up-regulated in T-PLL cells (T-cell prolymphocytic leukemia) bearing the inv(14)/t(14:14) chromosomal aberration."
"DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_DN","Genes down-regulated in CD34+ [GeneID=947] cells isolated from bone marrow of CML (chronic myelogenous leukemia) patients, compared to those from normal donors."
"DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP","Genes up-regulated in CD34+ [GeneID=947] cells isolated from bone marrow of CML (chronic myelogenous leukemia) patients, compared to those from normal donors."
"DIERICK_SEROTONIN_FUNCTION_GENES","Genes involved in serotonin [PubChem=5202] function, orthologs computed from D. melanogaster genes using InsParanoid resource."
"DING_LUNG_CANCER_BY_MUTATION_RATE","The lung adenocarcinoma TSP (tumor sequencing project) genes mutations in which show positive correlation with the  higher overall mutation rate."
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","The lung adenocarcinoma TSP (tumor sequencing project) genes showing strong correlation between DNA copy number variation and gene expression."
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","The lung adenocarcinoma TSP (tumor sequencing project) genes with significantly higher frequencies of nonsense, splice site, and frame-shift mutations."
"DING_LUNG_CANCER_MUTATED_RECURRENTLY","The lung adenocarcinoma TSP (tumor sequencing project) genes bearing recurrent somatic mutations."
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","The lung adenocarcinoma TSP (tumor sequencing project) genes that were found significantly mutated by at least one method."
"DIRMEIER_LMP1_RESPONSE_EARLY","Clusters 1 and 2: genes up-regulated in B2264-19/3 cells (primary B lymphocytes) within 30-60 min after activation of LMP1 (an oncogene encoded by Epstein-Barr virus, EBV)."
"DIRMEIER_LMP1_RESPONSE_LATE_DN","Cluster 4: genes down-regulated in B2264-19/3 cells (primary B lymphocytes) within 60-180 min after activation of LMP1 (an oncogene encoded by Epstein-Barr virus, EBV)."
"DIRMEIER_LMP1_RESPONSE_LATE_UP","Cluster 3: genes up-regulated in B2264-19/3 cells (primary B lymphocytes) within 60-180 min after activation of LMP1 (an oncogene encoded by Epstein-Barr virus, EBV)."
"DISTECHE_ESCAPED_FROM_X_INACTIVATION","Genes that escape X inactivation."
"DITTMER_PTHLH_TARGETS_DN","Genes down-regulated in MDA-MB-231 cells (breast cancer) after knockdown of PTHLH [GeneID=5744] by RNAi."
"DITTMER_PTHLH_TARGETS_UP","Genes up-regulated in MDA-MB-231 cells (breast cancer) after knockdown of PTHLH [GeneID=5744] by RNAi."
"DOANE_BREAST_CANCER_CLASSES_DN","Genes down-regulated in ER(-) / PR(-) breast tumors (do not express ESR1 and PGR [GeneID=2099;5241]) with molecular similarity to ER(+) (class A) relative to the rest of the ER(-) / PR(-) samples (class B)."
"DOANE_BREAST_CANCER_CLASSES_UP","Genes up-regulated in ER(-) / PR(-) breast tumors (do not express ESR1 and PGR [GeneID=2099;5241]) with molecular similarity to ER(+) (class A) relative to the rest of the ER(-) / PR(-) samples (class B)."
"DOANE_BREAST_CANCER_ESR1_DN","Genes down-regulated in breast cancer samples positive for ESR1 [GeneID=2099] compared to the ESR1 negative tumors."
"DOANE_BREAST_CANCER_ESR1_UP","Genes up-regulated in breast cancer samples positive for ESR1 [GeneID=2099] compared to the ESR1 negative tumors."
"DOANE_RESPONSE_TO_ANDROGEN_DN","Genes down-regulated in MDA-MB-453 cells (class A ER(-) [GeneID=2099] breast cancer) after exposure to the androgen R1881 [PubChem=13766]."
"DOANE_RESPONSE_TO_ANDROGEN_UP","Genes up-regulated in MDA-MB-453 cells (class A ER(-) [GeneID=2099] breast cancer) after exposure to the androgen R1881 [PubChem=13766]."
"DODD_NASOPHARYNGEAL_CARCINOMA_DN","Genes down-regulated in nasopharyngeal carcinoma (NPC) compared to the normal tissue."
"DODD_NASOPHARYNGEAL_CARCINOMA_UP","Genes up-regulated in nasopharyngeal carcinoma (NPC) compared to the normal tissue."
"DONATO_CELL_CYCLE_TRETINOIN","Genes involved in cell cycle regulation which were up-regulated in MCF-7 cells (breast cancer) by tretinoin (retinoic acid) [PubChem=444795]."
"DORMOY_ELAVL1_TARGETS","Genes down-regulated in HeLa cells upon knockdown of ELAVL1 [GeneID=1994] by RNAi."
"DORN_ADENOVIRUS_INFECTION_12HR_DN","Genes down-regulated in HeLa cells (cervical carcinoma) 12 h after infection with adenovirus Ad12."
"DORN_ADENOVIRUS_INFECTION_12HR_UP","Genes up-regulated in HeLa cells (cervical carcinoma) 12 h after infection with adenovirus Ad12."
"DORN_ADENOVIRUS_INFECTION_24HR_DN","Genes down-regulated in HeLa cells (cervical carcinoma) 24 h after infection with adenovirus Ad12."
"DORN_ADENOVIRUS_INFECTION_24HR_UP","Genes up-regulated in HeLa cells (cervical carcinoma) 24 h after infection with adenovirus Ad12."
"DORN_ADENOVIRUS_INFECTION_32HR_DN","Genes down-regulated in HeLa cells (cervical carcinoma) 32 h after infection with adenovirus Ad12."
"DORN_ADENOVIRUS_INFECTION_32HR_UP","Genes up-regulated in HeLa cells (cervical carcinoma) 32 h after infection with adenovirus Ad12."
"DORN_ADENOVIRUS_INFECTION_48HR_DN","Genes down-regulated in HeLa cells (cervical carcinoma) 48 h after infection with adenovirus Ad12."
"DORN_ADENOVIRUS_INFECTION_48HR_UP","Genes up-regulated in HeLa cells (cervical carcinoma) 48 h after infection with adenovirus Ad12."
"DORSAM_HOXA9_TARGETS_DN","HOXA9 [GeneID=3205] targets down-regulated in hematopoietic stem cells."
"DORSAM_HOXA9_TARGETS_UP","HOXA9 [GeneID=3205] targets up-regulated in hematopoietic stem cells."
"DORSEY_GAB2_TARGETS","Genes up-regulated by expression of GAB2 [GeneID=9846] in K562 cells (chronic myeloid leukemia (CML) cell line with p210 BCR-ABL [GeneID=613;25])."
"DOUGLAS_BMI1_TARGETS_DN","Genes down-regulated in A4573 cells (Ewing's sarcoma, ESFT) after knockdown of BMI1 [GeneID=648] by RNAi."
"DOUGLAS_BMI1_TARGETS_UP","Genes up-regulated in A4573 cells (Ewing's sarcoma, ESFT) after knockdown of BMI1 [GeneID=648] by RNAi."
"DUAN_PRDM5_TARGETS","Direct targets of PRDM5 [GeneID=11107]."
"DUNNE_TARGETS_OF_AML1_MTG8_FUSION_DN","Genes down-regulated in Kasumi-1 cells (acute myeloid leukaemia (AML) with the t(8;21) translocation) after knockdown of the AML1 MTG8 fusion [GeneID=861;862] by RNAi."
"DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP","Genes up-regulated in Kasumi-1 cells (acute myeloid leukaemia (AML) with the t(8;21) translocation) after knockdown of the AML1 MTG8 fusion [GeneID=861;862] by RNAi."
"DURAND_STROMA_NS_UP","Genes up-regulated in the HSC non-supportive stromal cell lines."
"DURAND_STROMA_S_UP","Genes up-regulated in the HSC supportive stromal cell lines."
"DURCHDEWALD_SKIN_CARCINOGENESIS_DN","Genes down-regulated upon skin specific knockout of FOS [GeneID=2353] by cre-lox in the K5-SOS-F mice (express a constitutively active form of SOS1 [GeneID=6654] in the skin)."
"DURCHDEWALD_SKIN_CARCINOGENESIS_UP","Genes up-regulated upon skin specific knockout of FOS [GeneID=2353] by cre-lox in the K5-SOS-F mice (express a constitutively active form of SOS1 [GeneID=6654] in the skin)."
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN","Genes down-regulated in MCF7 cells (breast cancer) at 24 h of estradiol [PubChem=5757] treatment."
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","Genes up-regulated in MCF7 cells (breast cancer) at 24 h of estradiol [PubChem=5757] treatment."
"DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN","Genes down-regulated in MCF7 cells (breast cancer) at 6 h of estradiol [PubChem=5757] treatment."
"DUTERTRE_ESTRADIOL_RESPONSE_6HR_UP","Genes up-regulated in MCF7 cells (breast cancer) at 6 h of estradiol [PubChem=5757] treatment."
"DUTTA_APOPTOSIS_VIA_NFKB","NF-kB target genes involved in the regulation of programmed cell death."
"EBAUER_MYOGENIC_TARGETS_OF_PAX3_FOXO1_FUSION","Muscle development genes up-regulated in Rh4 cells (alveolar rhabdomyosarcoma, ARMS) but not in the RD cells (embryonal rhabdomyosarcoma, ERMS) after knockdown of PAX3-FOXO1 [GeneID=5077;2308] fusion by RNAi for 72 hr."
"EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_DN","Genes down-regulated in Rh4 cells (alveolar rhabdomyosarcoma, ARMS) after knockdown of the PAX3-FOXO1 [GeneiD=5077;2308] fusion protein by RNAi for 72 hr."
"EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP","Genes up-regulated in Rh4 cells (alveolar rhabdomyosarcoma, ARMS) after knockdown of the PAX3-FOXO1 [GeneiD=5077;2308] fusion protein by RNAi for 72 hr."
"EGUCHI_CELL_CYCLE_RB1_TARGETS","RB1 [GeneID=5925] target genes involved in cell cycle regulation: genes down-regulated by doxorubicin [PubChem=31703] only in cells expressing RB1."
"EHLERS_ANEUPLOIDY_DN","Down-regulated genes in the expression signature of aneuploidy in uveal melanoma tumors: low vs high aneuploidy."
"EHLERS_ANEUPLOIDY_UP","Up-regulated genes in the expression signature of aneuploidy in uveal melanoma tumors: low vs high aneuploidy."
"EHRLICH_ICF_SYNDROM_DN","Down-regulated in B lymphocytes from patients with ICF syndrom caused by mutations in DNMT3B [GeneID=1789] compared to normals."
"EHRLICH_ICF_SYNDROM_UP","Up-regulated in B lymphocytes from patients with ICF syndrom caused by mutations in DNMT3B [GeneID=1789] compared to normals."
"EINAV_INTERFERON_SIGNATURE_IN_CANCER","A gene expression signature found in a subset of cancer patients suggestive of a deregulated immune or inflammatory response."
"ELLWOOD_MYC_TARGETS_DN","Genes down-regulated in transgenic mice expressing human MYC [GeneID=4609] in prostate."
